"GEAR_TYPE","GRID_5","SF_AREA","PROPORTION"
"PS","6225105","9220060",1
"PS","6225110","9220060",0.999944150447845
"PS","6230020","9220060",0.999692797660828
"PS","6230025","9220060",0.99972015619278
"PS","6230030","9220060",0.9997398853302
"PS","6230035","9220060",0.999922037124634
"PS","6230040","9220060",0.999936997890472
"PS","6230045","9220060",1
"PS","6230050","9220060",1
"PS","6230055","9220060",1
"PS","6230060","9220060",1
"PS","6230065","9220060",1
"PS","6230070","9220060",1
"PS","6230075","9220060",1
"PS","6230080","9220060",1
"PS","6230085","9220060",1
"PS","6230090","9220060",1
"PS","6230095","9220060",1
"PS","6230100","9220060",1
"PS","6230105","9220060",1
"PS","6230110","9220060",0.999999046325684
"PS","6230115","9220060",0.999764263629913
"PS","6230120","9220060",0.999930620193481
"PS","6230125","9220060",0.999986827373505
"PS","6230130","9220060",0.999922037124634
"PS","6230135","9220060",0.999283373355865
"PS","6235020","9220060",0.999888002872467
"PS","6235025","9220060",1
"PS","6235030","9220060",1
"PS","6235035","9220060",1
"PS","6235040","9220060",1
"PS","6235045","9220060",1
"PS","6235050","9220060",1
"PS","6235055","9220060",1
"PS","6235060","9220060",1
"PS","6235065","9220060",1
"PS","6235070","9220060",1
"PS","6235075","9220060",1
"PS","6235080","9220060",1
"PS","6235085","9220060",1
"PS","6235090","9220060",1
"PS","6235095","9220060",1
"PS","6235100","9220060",1
"PS","6235105","9220060",1
"PS","6235110","9220060",1
"PS","6235115","9220060",0.999990284442902
"PS","6235120","9220060",1
"PS","6235125","9220060",1
"PS","6235130","9220060",1
"PS","6235135","9220060",0.999941110610962
"PS","6235140","9220060",0.999964237213135
"PS","6235145","9220060",0.999817132949829
"PS","6240020","9220060",0.999890446662903
"PS","6240025","9220060",1
"PS","6240030","9220060",1
"PS","6240035","9220060",1
"PS","6240040","9220060",1
"PS","6240045","9220060",1
"PS","6240050","9220060",1
"PS","6240055","9220060",1
"PS","6240060","9220060",1
"PS","6240065","9220060",1
"PS","6240070","9220060",1
"PS","6240075","9220060",1
"PS","6240080","9220060",1
"PS","6240085","9220060",1
"PS","6240090","9220060",1
"PS","6240095","9220060",1
"PS","6240100","9220060",1
"PS","6240105","9220060",1
