"GRID_5","PS_AREA_CODE","PROPORTION","PS_AREA","PS_AREA_NUMBER"
"6220070","IRS06ST",1,"9220060",4
"6220075","IRS06ST",1,"9220060",4
"6220080","IRS06ST",1,"9220060",4
"6220085","IRS06ST",1,"9220060",4
"6220090","IRS06ST",1,"9220060",4
"6220095","IRS06ST",1,"9220060",4
"6220100","IRS06ST",1,"9220060",4
"6220105","IRS06ST",1,"9220060",4
"6220110","IRS06ST",0.999972999095917,"9220060",4
"6220115","IRS06ST",0.999762654304504,"9220060",4
"6225030","IRS04ST",0.999997615814209,"9210020",3
"6225035","IRS04ST",1,"9210020",3
"6225040","IRS04ST",0.999999165534973,"9210020",3
"6225045","IRS06ST",0.99977719783783,"9220060",4
"6225050","IRS06ST",1,"9220060",4
"6225055","IRS06ST",1,"9220060",4
"6225060","IRS06ST",1,"9220060",4
"6225065","IRS06ST",1,"9220060",4
"6225070","IRS06ST",1,"9220060",4
"6225075","IRS06ST",1,"9220060",4
"6225080","IRS06ST",1,"9220060",4
"6225085","IRS06ST",1,"9220060",4
"6225090","IRS06ST",1,"9220060",4
"6225095","IRS06ST",1,"9220060",4
"6225100","IRS06ST",1,"9220060",4
"6225105","IRS06ST",1,"9220060",4
"6225110","IRS06ST",0.999944150447845,"9220060",4
"6230020","IRS06ST",0.999692797660828,"9220060",4
"6230025","IRS06ST",0.99972015619278,"9220060",4
"6230030","IRS06ST",0.9997398853302,"9220060",4
"6230035","IRS06ST",0.999922037124634,"9220060",4
"6230040","IRS06ST",0.999936997890472,"9220060",4
"6230045","IRS06ST",1,"9220060",4
"6230050","IRS06ST",1,"9220060",4
"6230055","IRS06ST",1,"9220060",4
"6230060","IRS06ST",1,"9220060",4
"6230065","IRS06ST",1,"9220060",4
"6230070","IRS06ST",1,"9220060",4
"6230075","IRS06ST",1,"9220060",4
"6230080","IRS06ST",1,"9220060",4
"6230085","IRS06ST",1,"9220060",4
"6230090","IRS06ST",1,"9220060",4
"6230095","IRS06ST",1,"9220060",4
"6230100","IRS06ST",1,"9220060",4
"6230105","IRS06ST",1,"9220060",4
"6230110","IRS06ST",0.999999046325684,"9220060",4
