"GRID_1","GRID_5","PS_AREA_CODE","PS_AREA","PS_AREA_NUMBER"
"5107092","6105090","IRS09ST","9100100",7
"5107093","6105090","IRS09ST","9100100",7
"5107094","6105090","IRS09ST","9100100",7
"5107095","6105095","IRS09ST","9100100",7
"5107096","6105095","IRS09ST","9100100",7
"5107097","6105095","IRS09ST","9100100",7
"5107098","6105095","IRS09ST","9100100",7
"5107099","6105095","IRS09ST","9100100",7
"5108049","6105045","IRS01ST","9100040",0
"5108050","6105050","IRS01ST","9100040",0
"5108051","6105050","IRS01ST","9100040",0
"5108052","6105050","IRS01ST","9100040",0
"5108053","6105050","IRS01ST","9100040",0
"5108054","6105050","IRS01ST","9100040",0
"5108055","6105055","IRS01ST","9100040",0
"5108056","6105055","IRS01ST","9100040",0
"5108057","6105055","IRS01ST","9100040",0
"5108058","6105055","IRS01ST","9100040",0
"5108059","6105055","IRS01ST","9100040",0
"5108060","6105060","IRS01ST","9100040",0
"5108061","6105060","IRS01ST","9100040",0
"5108062","6105060","IRS01ST","9100040",0
"5108063","6105060","IRS01ST","9100040",0
"5108064","6105060","IRS01ST","9100040",0
"5108065","6105065","IRS01ST","9100040",0
"5108066","6105065","IRS01ST","9100040",0
"5108067","6105065","IRS01ST","9100040",0
"5108068","6105065","IRS01ST","9100040",0
"5108069","6105065","IRS01ST","9100040",0
"5108070","6105070","IRS08ST","9100080",8
"5108071","6105070","IRS08ST","9100080",8
"5108072","6105070","IRS08ST","9100080",8
"5108073","6105070","IRS08ST","9100080",8
"5108074","6105070","IRS08ST","9100080",8
"5108075","6105075","IRS08ST","9100080",8
"5108076","6105075","IRS08ST","9100080",8
"5108077","6105075","IRS08ST","9100080",8
"5108078","6105075","IRS08ST","9100080",8
"5108079","6105075","IRS08ST","9100080",8
"5108080","6105080","IRS09ST","9100100",7
"5108081","6105080","IRS09ST","9100100",7
"5108082","6105080","IRS09ST","9100100",7
"5108083","6105080","IRS09ST","9100100",7
"5108084","6105080","IRS09ST","9100100",7
"5108085","6105085","IRS09ST","9100100",7
"5108086","6105085","IRS09ST","9100100",7
"5108087","6105085","IRS09ST","9100100",7
"5108088","6105085","IRS09ST","9100100",7
"5108089","6105085","IRS09ST","9100100",7
"5108090","6105090","IRS09ST","9100100",7
"5108091","6105090","IRS09ST","9100100",7
"5108092","6105090","IRS09ST","9100100",7
"5108093","6105090","IRS09ST","9100100",7
"5108094","6105090","IRS09ST","9100100",7
"5108095","6105095","IRS09ST","9100100",7
"5108096","6105095","IRS09ST","9100100",7
"5108097","6105095","IRS09ST","9100100",7
"5108098","6105095","IRS09ST","9100100",7
"5109050","6105050","IRS01ST","9100040",0
"5109051","6105050","IRS01ST","9100040",0
"5109052","6105050","IRS01ST","9100040",0
"5109053","6105050","IRS01ST","9100040",0
"5109054","6105050","IRS01ST","9100040",0
"5109055","6105055","IRS01ST","9100040",0
"5109056","6105055","IRS01ST","9100040",0
"5109057","6105055","IRS01ST","9100040",0
"5109058","6105055","IRS01ST","9100040",0
"5109059","6105055","IRS01ST","9100040",0
"5109060","6105060","IRS01ST","9100040",0
"5109061","6105060","IRS01ST","9100040",0
"5109062","6105060","IRS01ST","9100040",0
"5109063","6105060","IRS01ST","9100040",0
"5109064","6105060","IRS01ST","9100040",0
"5109065","6105065","IRS01ST","9100040",0
"5109066","6105065","IRS01ST","9100040",0
"5109067","6105065","IRS01ST","9100040",0
"5109068","6105065","IRS01ST","9100040",0
"5109069","6105065","IRS01ST","9100040",0
