FLEET,GEAR_CODE,SCHOOL_TYPE_CODE,FISHERY,A1
EUMYT,TROL,UNCL,OTHER,A1
EUPRT,ELL,UNCL,OTHER,A1
EUPRT,LLOB,UNCL,OTHER,A1
EUREU,ELL,UNCL,OTHER,A1
EUREU,ELLOB,UNCL,OTHER,A1
EUREU,HAND,UNCL,OTHER,A1
EUREU,LLCO,UNCL,OTHER,A1
EUREU,TROL,UNCL,OTHER,A1
FRA,PS,FS,PSFS,A1
FRA,PS,LS,PSLS,A1
FRA-REU,ELL,UNCL,OTHER,A1
FRA-REU,TROL,UNCL,OTHER,A1
FRAT,HAND,UNCL,OTHER,A1
FRAT,PS,FS,PSFS,A1
FRAT,PS,LS,PSLS,A1
FRAT,TROL,UNCL,OTHER,A1
GBR,ELL,UNCL,OTHER,A1
GBR,HAND,UNCL,OTHER,A1
GBRT,HAND,UNCL,OTHER,A1
GIN,ELL,UNCL,OTHER,A1
IDN,BB,UNCL,OTHER,A1
IDN,BS,UNCL,OTHER,A1
IDN,DSEI,UNCL,OTHER,A1
IDN,FLL,UNCL,OTHER,A1
IDN,GILL,UNCL,OTHER,A1
IDN,HAND,UNCL,OTHER,A1
IDN,LIFT,UNCL,OTHER,A1
IDN,LL,UNCL,OTHER,A1
IDN,LLCO,UNCL,OTHER,A1
IDN,LLF,UNCL,OTHER,A1
IDN,PS,LS,OTHER,A1
IDN,PS,UNCL,OTHER,A1
IDN,PSS,UNCL,OTHER,A1
IDN,TROL,UNCL,OTHER,A1
IND,BB,UNCL,OTHER,A1
IND,BS,UNCL,OTHER,A1
IND,FLL,UNCL,OTHER,A1
IND,GILL,UNCL,OTHER,A1
IND,GIOF,UNCL,OTHER,A1
IND,HAND,UNCL,OTHER,A1
IND,LIFT,UNCL,OTHER,A1
IND,LL,UNCL,OTHER,A1
IND,LLCO,UNCL,OTHER,A1
IND,LLEX,UNCL,OTHER,A1
IND,PSS,UNCL,OTHER,A1
IND,RIN,UNCL,OTHER,A1
IND,TRAW,UNCL,OTHER,A1
IND,TROL,UNCL,OTHER,A1
IRN,GILL,UNCL,OTHER,A1
IRN,GIOF,UNCL,OTHER,A1
IRN,HAND,UNCL,OTHER,A1
IRN,PS,FS,OTHER,A1
IRN,PS,LS,OTHER,A1
IRN,PS,UNCL,OTHER,A1
JOR,BB,UNCL,BB,A1
JOR,GILL,UNCL,OTHER,A1
JOR,HAND,UNCL,OTHER,A1
JOR,LLCO,UNCL,OTHER,A1
JOR,OTHER,UNCL,OTHER,A1
JOR,PSS,UNCL,OTHER,A1
JOR,SPOR,UNCL,OTHER,A1
JOR,TROL,UNCL,OTHER,A1
JPN,GILL,UNCL,OTHER,A1
JPN,LL,UNCL,OTHER,A1
JPN,LLOB,UNCL,OTHER,A1
JPN,PS,FS,OTHER,A1
JPN,PS,LS,OTHER,A1
JPN,PS,UNCL,OTHER,A1
JPN,PSOB,UNCL,OTHER,A1
KEN,ELL,UNCL,OTHER,A1
KEN,GILL,UNCL,OTHER,A1
KEN,HAND,UNCL,OTHER,A1
KEN,SPOR,UNCL,OTHER,A1
KEN,TROL,UNCL,OTHER,A1
KOR,BB,UNCL,OTHER,A1
KOR,LL,UNCL,OTHER,A1
KOR,LLOB,UNCL,OTHER,A1
KOR,PS,FS,PSFS,A1
KOR,PS,LS,PSLS,A1
KOR,PS,UNCL,PSLS,A1
KOR,PSOB,UNCL,PSLS,A1
LKA,BB,UNCL,OTHER,A1
LKA,BS,UNCL,OTHER,A1
LKA,FLL,UNCL,OTHER,A1
LKA,G/L,UNCL,OTHER,A1
LKA,GILL,UNCL,OTHER,A1
LKA,GIOF,UNCL,OTHER,A1
LKA,GL,UNCL,OTHER,A1
LKA,HAND,UNCL,OTHER,A1
LKA,HLOF,UNCL,OTHER,A1
LKA,HARP,UNCL,OTHER,A1
LKA,HATR,UNCL,OTHER,A1
LKA,LG,UNCL,OTHER,A1
LKA,LL,UNCL,OTHER,A1
LKA,LLCO,UNCL,OTHER,A1
LKA,PS,LS,PSLS,A1
LKA,RIN,UNCL,OTHER,A1
LKA,RNOF,UNCL,OTHER,A1
LKA,TROL,UNCL,OTHER,A1
LKA,TROLM,UNCL,OTHER,A1
LKA,UNCL,UNCL,OTHER,A1
MDG,BB,UNCL,OTHER,A1
MDG,ELL,UNCL,OTHER,A1
MDG,LL,UNCL,OTHER,A1
MDG,TROL,UNCL,OTHER,A1
MDV,BB,FD,BB,A1
MDV,BB,FS,BB,A1
MDV,BB,LA,BB,A1
MDV,BB,LS,BB,A1
MDV,BB,UNCL,BB,A1
MDV,BBM,UNCL,BB,A1
MDV,BBN,UNCL,BB,A1
MDV,BBOF,UNCL,BB,A1
MDV,BBOF,FS,BB,A1
MDV,BBOF,LA,BB,A1
MDV,FLL,UNCL,OTHER,A1
MDV,FN,UNCL,OTHER,A1
MDV,HAND,FS,OTHER,A1
MDV,HAND,UNCL,OTHER,A1
MDV,HLOF,UNCL,OTHER,A1
MDV,LL,UNCL,OTHER,A1
MDV,LLCO,UNCL,OTHER,A1
MDV,TROL,LA,OTHER,A1
MDV,TROL,UNCL,OTHER,A1
MDV,TROLM,UNCL,OTHER,A1
MDV,TROLN,UNCL,OTHER,A1
MOZ,ELL,UNCL,OTHER,A1
